region_id,population_thousands,income_index,distance_to_center_km,transport_score,ecology_index
suburb-7,139.59708466504725,58.028444353600094,31.975987748192214,56.18143661446121,77.51431302668306
industrial-1,242.22445583941152,52.094983399998526,94.10810994250029,53.69867263564074,21.799033598222607
industrial-7,163.43560818729117,50.82434432997578,79.36727374865724,43.263638036872074,35.44136303243221
suburb-0,112.1354301386444,62.85455441642339,49.32671993015318,67.1498882315086,69.62873347948293
industrial-3,219.31816379830573,61.01654695182762,123.78320300307007,50.76448458107141,32.390888856583565
megapolis-5,724.2057665735871,72.246704395026,13.033970407218918,96.34523414644156,52.76230148549889
suburb-5,167.8503127919983,60.14392076167857,44.28253610184241,67.2877353927955,69.25492944469421
industrial-10,227.47707627068039,56.05944015072227,76.87649092061504,46.225715372362885,29.063239248387713
megapolis-3,1026.976236712814,72.84424522270056,12.877065754473788,97.20474230259761,59.419017580869784
rural-6,26.175676927938234,37.048190977767874,186.83165451956305,29.05089339112094,82.31768875204808
suburb-1,142.46508682532007,66.1429121244066,49.01878058426949,75.9001245477367,68.1529650186641
megapolis-8,897.7318437369211,76.89082581872843,10.770617450228311,92.93348647312583,53.07400424141321
rural-0,23.53821323816587,33.12235342813804,144.02254084674712,26.36013215727376,86.28264106055335
megapolis-6,917.2584544275835,83.27070180784364,17.139954242089107,86.67592234169045,51.70739141995043
rural-8,32.4877408438442,27.95190233177386,189.8103364119758,40.4480139336546,77.25068022569559
megapolis-4,636.610249531732,80.21250470449499,12.990558267830373,97.94603336962754,44.799909261010335
rural-11,21.28923204988051,48.6075794814793,158.69559916366612,38.850309680479114,82.23776413998287
suburb-12,129.31232356496375,59.18358595878366,41.596537013645495,70.57703606171096,63.521739270751766
industrial-4,138.49483696906933,58.22869262202356,74.64161968994124,47.9851137746593,42.10088351083915
rural-7,28.14297462960393,31.78607748304513,131.10633030121517,32.286609116820344,95.23011004569541
industrial-9,189.97629677897564,56.45498074762733,111.7053651759882,44.70061934980775,27.366907501389306
suburb-3,163.19000245558377,62.951238146460284,44.113630639415184,68.35649953705897,66.32451060768884
megapolis-9,784.8390697775667,73.91442273357634,10.046945452205094,93.7495087738321,65.46458917864078
suburb-4,166.00259804533923,65.75354236380402,41.190315191602615,62.39982356071535,60.835517551646944
rural-4,19.484476395615033,44.39588138472586,228.11103143792525,42.63273005128348,97.06566004548309
rural-10,26.554035374784988,37.67730469509008,154.98758727494112,26.712582153330104,89.50328756282332
suburb-13,161.1861167412097,62.074964712366125,56.69305468007459,65.76405832748958,61.513968410161326
megapolis-11,1005.001911282908,77.07282310758718,14.70953350253014,93.78876439019746,61.77794848214037
megapolis-0,941.1368057668483,78.39618418536729,10.972013226808542,91.088420338761,59.75239494150326
industrial-6,174.70309189121386,54.0729659245006,63.658043966933946,40.93817286914695,28.283055078405233
rural-1,19.837426946663843,35.50785643892189,122.08179947465521,20.195153889862013,76.4287167779565
rural-5,21.19157844547172,38.94229140467207,133.71562626481963,31.279932908587504,83.74336550702179
rural-13,26.003917983789385,43.89643706613835,174.2743104474266,42.286047935967936,83.85589971032842
rural-3,24.166664885879598,37.15525468150169,136.7927659348559,31.380703341776957,96.55649552561874
industrial-5,198.53844794209647,63.02438864465646,84.82709949211483,54.24589956597954,23.09200045100234
megapolis-1,759.6021456575331,84.7634472418082,11.15487947882825,85.27874818429977,55.47305348642224
suburb-9,145.69565269016366,59.70957263601002,36.024778551586664,71.90188481865822,70.49809741404657
megapolis-2,1001.3109114338718,80.80505605351227,13.277542045328037,85.40415027447008,57.02383579082989
industrial-0,210.12723646396802,55.183788955566506,91.62881606930173,37.82168776209076,50.33547018468285
rural-9,35.926984247527486,35.082152545560014,172.3184309153876,31.75506001091085,78.73691086730922
suburb-11,124.50103768492168,64.92183488471349,36.85068850175945,58.43153716489236,59.67865861974005
industrial-8,173.65542899213747,53.656847098717,95.68089006462613,72.03397689622639,33.04336252126633
megapolis-10,1018.7187266064818,85.33524803204418,13.47835061418119,98.97143022358551,48.9391821901473
suburb-10,121.29705772489676,54.82496212646576,48.59796804051093,65.24680035442564,78.24312023853693
suburb-6,142.15368587441014,64.74065142534447,29.81399009437773,76.72246509965916,69.53997678780236
industrial-11,160.20821846781308,48.4936715665998,78.22536407877966,69.69530822657052,20.37572934141013
suburb-8,169.30445732828596,59.82167692060957,33.09570348881038,73.47538914836686,73.84577872140206
megapolis-7,857.3072500336164,77.70044453408248,11.024603960676922,93.85729058453376,50.52785506229661
industrial-2,202.71754720705238,53.03396143382823,135.31453267561056,46.5006847051235,27.422257302483786
suburb-2,153.66194396486262,59.4364841219808,50.98846598075507,62.531058559920986,79.2124522392464
rural-2,27.381816050554015,34.32741920564115,129.1162636085641,19.776499405443047,75.42288560528034
rural-12,17.004826447257592,38.781647128837314,139.0467937462595,33.43005150769291,84.9641469329595
